Pvm;M‰‰r‰
26.10.2018;-10.40
25.10.2018;-8.84
25.10.2018;-7.78
24.10.2018;-0.20
23.10.2018;-60.00
23.10.2018;-3.50
23.10.2018;-30.81
23.10.2018;-15.80
22.10.2018;20.00
22.10.2018;-11.50
22.10.2018;-27.50
22.10.2018;-10.79
22.10.2018;-7.74
18.10.2018;-12.88
18.10.2018;-3.70
17.10.2018;-22.98
16.10.2018;-54.79
16.10.2018;-60.00
16.10.2018;-3.00
15.10.2018;-74.00
15.10.2018;-7.80
15.10.2018;-22.50
15.10.2018;-100.00
12.10.2018;-80.00
11.10.2018;-1.48
10.10.2018;-42.00
10.10.2018;-28.07
9.10.2018;-19.80
5.10.2018;-195.25
5.10.2018;910.20
3.10.2018;-79.60
3.10.2018;-6.01
3.10.2018;-33.00
3.10.2018;723.78
1.10.2018;-174.00
1.10.2018;-8.00
1.10.2018;-14.00
1.10.2018;-60.00
1.10.2018;-24.57
28.9.2018;-2.25
27.9.2018;-79.30
26.9.2018;-4.31
25.9.2018;-4.55
24.9.2018;-40.00
24.9.2018;-29.11
24.9.2018;-5.50
24.9.2018;-29.00
24.9.2018;-21.50
24.9.2018;-2.00
24.9.2018;-17.00
24.9.2018;-13.50
21.9.2018;-15.50
21.9.2018;-5.00
20.9.2018;-50.00
20.9.2018;-10.00
20.9.2018;-3.70
19.9.2018;-3.64
18.9.2018;-7.11
18.9.2018;391.50
17.9.2018;-21.01
17.9.2018;-10.79
12.9.2018;-0.07
12.9.2018;-24.91
10.9.2018;1000.00
10.9.2018;-34.00
10.9.2018;-19.80
5.9.2018;-195.25
4.9.2018;-8.35
4.9.2018;-17.62
4.9.2018;-29.18
28.8.2018;-20.00
28.8.2018;-5.50
28.8.2018;-15.00
27.8.2018;-11.70
27.8.2018;-3.95
27.8.2018;-3.99
27.8.2018;-13.11
27.8.2018;-13.00
24.8.2018;-30.30
21.8.2018;-8.40
20.8.2018;46.35
20.8.2018;-10.00
20.8.2018;-16.50
20.8.2018;-45.46
20.8.2018;-3.70
17.8.2018;-4.81
17.8.2018;-102.00
16.8.2018;-11.00
16.8.2018;-87.36
16.8.2018;-54.36
16.8.2018;-72.36
16.8.2018;-48.36
14.8.2018;-10.00
14.8.2018;-89.00
14.8.2018;-1.16
14.8.2018;-25.00
14.8.2018;-3.29
13.8.2018;15.31
13.8.2018;46.35
13.8.2018;-6.81
10.8.2018;-1.19
9.8.2018;-31.52
9.8.2018;46.35
9.8.2018;46.35
9.8.2018;46.35
7.8.2018;-20.52
7.8.2018;-3.70
7.8.2018;-11.00
7.8.2018;-30.66
6.8.2018;-61.20
6.8.2018;-195.25
31.7.2018;-3.90
31.7.2018;-9.00
31.7.2018;-29.12
30.7.2018;-29.95
30.7.2018;-72.48
27.7.2018;-7.00
27.7.2018;-20.03
25.7.2018;1000.00
25.7.2018;-10.00
25.7.2018;-22.30
25.7.2018;-7.55
24.7.2018;-12.00
23.7.2018;-6.60
23.7.2018;-5.00
23.7.2018;-12.00
23.7.2018;-8.50
23.7.2018;-2.40
23.7.2018;-30.74
20.7.2018;-10.89
19.7.2018;-3.70
18.7.2018;-52.03
18.7.2018;-9.89
17.7.2018;-11.40
17.7.2018;-25.00
17.7.2018;-15.50
17.7.2018;-22.00
16.7.2018;-157.00
10.7.2018;-19.84
10.7.2018;-100.00
10.7.2018;-35.30
9.7.2018;-7.00
9.7.2018;-18.78
5.7.2018;-36.20
5.7.2018;-26.00
5.7.2018;-195.25
4.7.2018;-249.90
4.7.2018;-14.82
2.7.2018;-20.00
2.7.2018;-15.34
29.6.2018;-7.50
29.6.2018;-11.48
29.6.2018;-35.00
29.6.2018;447.00
27.6.2018;-70.00
27.6.2018;-5.29
26.6.2018;-12.50
26.6.2018;-11.00
25.6.2018;-40.00
25.6.2018;-99.31
20.6.2018;-18.90
20.6.2018;-3.37
20.6.2018;-16.11
20.6.2018;-3.70
19.6.2018;-36.00
19.6.2018;-130.00
19.6.2018;-7.95
19.6.2018;-16.09
19.6.2018;-0.85
19.6.2018;-4.40
18.6.2018;-1.50
18.6.2018;-9.12
18.6.2018;-3.57
18.6.2018;-5.83
15.6.2018;-8.80
15.6.2018;-8.55
14.6.2018;-10.28
12.6.2018;-27.80
12.6.2018;-18.68
11.6.2018;-5.75
7.6.2018;-24.20
6.6.2018;-27.26
5.6.2018;-195.25
4.6.2018;-11.40
4.6.2018;-18.90
4.6.2018;-1.50
4.6.2018;-5.75
31.5.2018;-140.00
29.5.2018;-44.60
29.5.2018;-24.94
28.5.2018;-15.40
25.5.2018;-50.74
24.5.2018;-9.95
24.5.2018;-70.00
23.5.2018;-67.70
22.5.2018;-7.90
22.5.2018;-48.77
22.5.2018;-9.00
22.5.2018;-11.60
22.5.2018;-3.70
21.5.2018;-500.00
21.5.2018;-6.50
21.5.2018;-3.35
21.5.2018;-7.50
21.5.2018;-5.75
18.5.2018;-1.66
18.5.2018;-3.99
18.5.2018;197.93
17.5.2018;-45.00
16.5.2018;-4.98
15.5.2018;-75.00
14.5.2018;-202.94
11.5.2018;500.00
11.5.2018;-1.45
9.5.2018;-16.57
8.5.2018;-42.95
7.5.2018;-28.60
7.5.2018;-195.25
4.5.2018;-40.06
2.5.2018;-155.00
2.5.2018;-44.27
30.4.2018;-299.83
30.4.2018;2500.00
30.4.2018;-23.80
30.4.2018;-6.03
27.4.2018;-1089.00
27.4.2018;-21.50
25.4.2018;1000.00
25.4.2018;-71.30
25.4.2018;-20.56
24.4.2018;-23.00
24.4.2018;-47.95
23.4.2018;-3.70
19.4.2018;-4.59
18.4.2018;-15.00
17.4.2018;-13.00
17.4.2018;-12.50
17.4.2018;-7.79
17.4.2018;-10.90
17.4.2018;-14.96
16.4.2018;-157.00
16.4.2018;1000.00
16.4.2018;-29.00
16.4.2018;-40.00
16.4.2018;-3.45
11.4.2018;-9.70
11.4.2018;-9.50
10.4.2018;-8.70
10.4.2018;-12.60
10.4.2018;-8.70
10.4.2018;-195.25
10.4.2018;1000.00
10.4.2018;-86.52
10.4.2018;-6.00
10.4.2018;-59.83
5.4.2018;-40.30
5.4.2018;-26.94
5.4.2018;-16.21
3.4.2018;-63.00
3.4.2018;-20.00
29.3.2018;-5.19
29.3.2018;-47.73
28.3.2018;-11.70
28.3.2018;-3.99
28.3.2018;-6.31
27.3.2018;-13.80
27.3.2018;-37.00
27.3.2018;-38.00
27.3.2018;-6.00
27.3.2018;-7.00
27.3.2018;-14.07
26.3.2018;-30.00
26.3.2018;-9.70
26.3.2018;-6.40
26.3.2018;-10.00
26.3.2018;-4.28
26.3.2018;-4.70
26.3.2018;-10.23
26.3.2018;-2.20
23.3.2018;-10.00
22.3.2018;-4.70
21.3.2018;-62.90
21.3.2018;-15.00
21.3.2018;-4.70
20.3.2018;-13.50
20.3.2018;-3.70
19.3.2018;-9.50
