"date","amount"
2018-10-26,10.4
2018-10-25,8.84
2018-10-25,7.78
2018-10-24,0.2
2018-10-23,60
2018-10-23,3.5
2018-10-23,30.81
2018-10-23,15.8
2018-10-22,11.5
2018-10-22,27.5
2018-10-22,10.79
2018-10-22,7.74
2018-10-18,12.88
2018-10-18,3.7
2018-10-17,22.98
2018-10-16,54.79
2018-10-16,60
2018-10-16,3
2018-10-15,74
2018-10-15,7.8
2018-10-15,22.5
2018-10-15,100
2018-10-12,80
2018-10-11,1.48
2018-10-10,42
2018-10-10,28.07
2018-10-09,19.8
2018-10-05,195.25
2018-10-03,79.6
2018-10-03,6.01
2018-10-03,33
2018-10-01,174
2018-10-01,8
2018-10-01,14
2018-10-01,60
2018-10-01,24.57
2018-09-28,2.25
2018-09-27,79.3
2018-09-26,4.31
2018-09-25,4.55
2018-09-24,40
2018-09-24,29.11
2018-09-24,5.5
2018-09-24,29
2018-09-24,21.5
2018-09-24,2
2018-09-24,17
2018-09-24,13.5
2018-09-21,15.5
2018-09-21,5
2018-09-20,50
2018-09-20,10
2018-09-20,3.7
2018-09-19,3.64
2018-09-18,7.11
2018-09-17,21.01
2018-09-17,10.79
2018-09-12,0.07
2018-09-12,24.91
2018-09-10,34
2018-09-10,19.8
2018-09-05,195.25
2018-09-04,8.35
2018-09-04,17.62
2018-09-04,29.18
2018-08-28,20
2018-08-28,5.5
2018-08-28,15
2018-08-27,11.7
2018-08-27,3.95
2018-08-27,3.99
2018-08-27,13.11
2018-08-27,13
2018-08-24,30.3
2018-08-21,8.4
2018-08-20,10
2018-08-20,16.5
2018-08-20,45.46
2018-08-20,3.7
2018-08-17,4.81
2018-08-17,102
2018-08-16,11
2018-08-16,87.36
2018-08-16,54.36
2018-08-16,72.36
2018-08-16,48.36
2018-08-14,10
2018-08-14,89
2018-08-14,1.16
2018-08-14,25
2018-08-14,3.29
2018-08-13,6.81
2018-08-10,1.19
2018-08-09,31.52
2018-08-07,20.52
2018-08-07,3.7
2018-08-07,11
2018-08-07,30.66
2018-08-06,61.2
2018-08-06,195.25
2018-07-31,3.9
2018-07-31,9
2018-07-31,29.12
2018-07-30,29.95
2018-07-30,72.48
2018-07-27,7
2018-07-27,20.03
2018-07-25,10
2018-07-25,22.3
2018-07-25,7.55
2018-07-24,12
2018-07-23,6.6
2018-07-23,5
2018-07-23,12
2018-07-23,8.5
2018-07-23,2.4
2018-07-23,30.74
2018-07-20,10.89
2018-07-19,3.7
2018-07-18,52.03
2018-07-18,9.89
2018-07-17,11.4
2018-07-17,25
2018-07-17,15.5
2018-07-17,22
2018-07-16,157
2018-07-10,19.84
2018-07-10,100
2018-07-10,35.3
2018-07-09,7
2018-07-09,18.78
2018-07-05,36.2
2018-07-05,26
2018-07-05,195.25
2018-07-04,249.9
2018-07-04,14.82
2018-07-02,20
2018-07-02,15.34
2018-06-29,7.5
2018-06-29,11.48
2018-06-29,35
2018-06-27,70
2018-06-27,5.29
2018-06-26,12.5
2018-06-26,11
2018-06-25,40
2018-06-25,99.31
2018-06-20,18.9
